                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     17,                 1.2609,                0.75253,                 1.1998,                0.95524,                0.96807,                  0.989,                0.65221,                 1.2189,                 0.6394,                 1.2003,              0.0013664,              0.0013664,              0.0013664
                     18,                 1.2731,                0.74776,                 1.2165,                0.94146,                0.96679,                 0.9861,                0.66236,                 1.1465,                0.66256,                 1.1929,              0.0013268,              0.0013268,              0.0013268
                     19,                 1.2368,                0.70367,                 1.2055,                0.94349,                0.98081,                0.98354,                0.60637,                 1.2905,                0.69184,                 1.2728,              0.0012872,              0.0012872,              0.0012872
                     20,                  1.262,                0.73231,                 1.2077,                0.95456,                0.97446,                0.98815,                0.66814,                 1.1468,                0.62373,                 1.1745,              0.0012476,              0.0012476,              0.0012476
                     21,                  1.242,                0.70412,                 1.2018,                0.96261,                0.96041,                0.98869,                0.67304,                 1.1395,                0.62238,                 1.1532,               0.001208,               0.001208,               0.001208
                     22,                 1.1951,                0.68268,                 1.1701,                0.96346,                 0.9719,                0.98482,                0.66705,                 1.1828,                0.61606,                 1.2061,              0.0011684,              0.0011684,              0.0011684
                     23,                 1.1854,                0.67883,                   1.16,                0.96553,                0.97318,                0.98821,                0.69591,                 1.0917,                0.59134,                 1.1439,              0.0011288,              0.0011288,              0.0011288
                     24,                 1.1558,                0.66591,                 1.1552,                0.95477,                0.97057,                0.98778,                0.69207,                 1.1067,                0.58937,                 1.1187,              0.0010892,              0.0010892,              0.0010892
                     25,                 1.1726,                0.66212,                 1.1423,                0.95719,                0.97085,                0.98991,                0.66928,                 1.2217,                0.62738,                 1.1997,              0.0010496,              0.0010496,              0.0010496
                     26,                 1.2038,                0.67953,                  1.169,                0.95521,                0.98059,                0.98775,                0.72681,                 1.0278,                0.53087,                 1.0704,                0.00101,                0.00101,                0.00101
                     27,                   1.16,                0.65206,                 1.1421,                0.96728,                0.97446,                0.99092,                0.67853,                 1.1612,                0.56852,                 1.1678,              0.0009704,              0.0009704,              0.0009704
                     28,                 1.1518,                 0.6433,                 1.1521,                0.96755,                0.96807,                0.98883,                0.72203,                 1.0501,                0.56649,                 1.1187,              0.0009308,              0.0009308,              0.0009308
                     29,                 1.1205,                0.64559,                 1.1394,                0.95967,                0.98851,                0.99037,                0.71014,                 1.0393,                0.56835,                 1.1166,              0.0008912,              0.0008912,              0.0008912
                     30,                 1.0854,                0.63744,                 1.1222,                0.96387,                0.97573,                0.99017,                0.74531,                 1.0149,                0.52702,                 1.0773,              0.0008516,              0.0008516,              0.0008516
                     31,                 1.0915,                0.62915,                 1.1185,                0.97328,                0.96679,                0.98858,                0.70762,                 1.0501,                0.53653,                 1.1232,               0.000812,               0.000812,               0.000812
                     32,                  1.056,                0.57473,                 1.1047,                0.96602,                0.98036,                0.99008,                0.72196,                 1.0172,                 0.5314,                 1.0937,              0.0007724,              0.0007724,              0.0007724
                     33,                 1.0727,                0.59428,                 1.1058,                0.96322,                0.98723,                0.99155,                 0.7251,                 1.0303,                0.51516,                  1.083,              0.0007328,              0.0007328,              0.0007328
                     34,                 1.0593,                 0.5865,                 1.0992,                 0.9661,                0.97701,                0.99049,                0.73428,                0.98635,                0.51677,                 1.0613,              0.0006932,              0.0006932,              0.0006932
                     35,                 1.0337,                0.57283,                 1.0791,                0.97467,                0.98278,                0.99161,                0.75552,                0.93631,                0.49174,                 1.0236,              0.0006536,              0.0006536,              0.0006536
                     36,                0.98477,                0.55908,                 1.0603,                0.97314,                0.98084,                0.99017,                0.74141,                0.95558,                0.50594,                 1.0453,               0.000614,               0.000614,               0.000614
                     37,                 1.0136,                0.56543,                 1.0732,                0.96257,                 0.9853,                0.99046,                0.73874,                0.97159,                0.50914,                  1.059,              0.0005744,              0.0005744,              0.0005744
                     38,                 1.0182,                0.55711,                 1.0779,                0.97593,                0.98369,                0.98974,                0.75121,                0.93589,                0.47406,                 1.0352,              0.0005348,              0.0005348,              0.0005348
                     39,                0.99622,                0.54419,                 1.0578,                0.97223,                0.98374,                0.98849,                0.76369,                0.90722,                0.46845,                 1.0229,              0.0004952,              0.0004952,              0.0004952
                     40,                0.93376,                0.51451,                 1.0422,                0.96526,                0.99361,                0.99184,                0.75935,                0.94121,                0.46723,                 1.0293,              0.0004556,              0.0004556,              0.0004556
                     41,                0.95517,                0.50346,                 1.0485,                0.97335,                0.97954,                0.98836,                0.74785,                0.92689,                0.47854,                 1.0276,               0.000416,               0.000416,               0.000416
                     42,                0.94344,                 0.5083,                 1.0568,                0.97831,                0.97957,                0.98996,                0.77527,                0.88074,                0.45608,                0.99774,              0.0003764,              0.0003764,              0.0003764
                     43,                0.92422,                0.50014,                 1.0502,                0.97588,                0.98159,                0.98686,                0.76301,                0.89181,                 0.4615,                 1.0225,              0.0003368,              0.0003368,              0.0003368
                     44,                0.88774,                0.47857,                 1.0275,                0.97716,                0.98373,                0.98698,                0.79116,                0.84768,                0.44621,                0.99365,              0.0002972,              0.0002972,              0.0002972
                     45,                 0.9093,                0.48717,                 1.0335,                0.97841,                0.98379,                0.99117,                0.81037,                0.82572,                0.43131,                0.98511,              0.0002576,              0.0002576,              0.0002576
                     46,                0.88684,                0.46609,                 1.0238,                 0.9815,                0.98212,                0.98997,                0.81409,                 0.8364,                0.43406,                0.98996,               0.000218,               0.000218,               0.000218
                     47,                0.85043,                0.47104,                 1.0074,                0.97708,                0.98467,                 0.9891,                0.81525,                 0.8002,                0.41913,                0.96151,              0.0001784,              0.0001784,              0.0001784
                     48,                0.87114,                0.46245,                 1.0106,                0.97243,                0.99107,                0.98898,                0.81483,                0.81922,                0.42308,                 0.9673,              0.0001388,              0.0001388,              0.0001388
                     49,                0.83033,                0.44178,                0.99692,                0.97722,                  0.986,                0.99113,                0.81697,                0.81191,                0.41576,                  0.963,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                 0.8396,                0.45124,                 1.0001,                0.98099,                0.98838,                0.99083,                0.81951,                0.81459,                  0.413,                0.96507,               5.96e-05,               5.96e-05,               5.96e-05
