                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.3687,                 3.3346,                 1.8993,                0.03095,                0.52235,                0.02561,                0.01129,                 1.9331,                 18.073,                 1.5357,             0.00064912,             0.00064912,             0.00064912
                      2,                  1.819,                  1.556,                 1.5096,                0.70035,                0.76373,                0.72696,                0.33484,                 1.7109,                  3.878,                 1.6862,              0.0012897,              0.0012897,              0.0012897
                      3,                 1.7399,                 1.3657,                 1.4871,                0.65976,                0.31204,                0.39478,                 0.1753,                 2.5852,                 4.2009,                 2.8283,               0.001904,               0.001904,               0.001904
                      4,                 1.6215,                 1.1831,                 1.4524,                0.76821,                0.71009,                0.75198,                0.35048,                  1.852,                 4.3581,                 1.7721,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.6455,                 1.1261,                  1.457,                 0.6403,                0.15232,                0.16343,                 0.0675,                 2.5641,                 6.2564,                    2.1,              0.0018416,              0.0018416,              0.0018416
                      6,                  1.586,                 1.0243,                 1.4039,                0.87019,                0.83014,                0.91056,                0.49906,                 1.5558,                 1.0107,                 1.3974,               0.001802,               0.001802,               0.001802
                      7,                 1.6006,                  1.027,                 1.3913,                0.89197,                0.86468,                0.94045,                0.49538,                 1.5808,                0.97705,                 1.4414,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.5224,                0.95674,                 1.3439,                0.92766,                 0.8844,                0.94789,                0.54972,                 1.4216,                0.91839,                 1.3299,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.5169,                0.98874,                 1.3479,                0.91374,                0.89286,                0.94945,                0.54161,                 1.4499,                 1.4097,                 1.3658,              0.0016832,              0.0016832,              0.0016832
                     10,                 1.4586,                0.92406,                 1.3506,                0.82236,                0.92824,                0.93631,                0.54404,                 1.4541,                 1.1118,                 1.4335,              0.0016436,              0.0016436,              0.0016436
                     11,                 1.4094,                0.86177,                 1.3212,                0.92167,                0.93487,                0.96992,                0.59922,                 1.3196,                0.78674,                 1.2794,               0.001604,               0.001604,               0.001604
                     12,                 1.3705,                0.82368,                 1.2832,                0.92731,                0.94253,                0.97609,                0.61738,                 1.3511,                0.74456,                 1.3073,              0.0015644,              0.0015644,              0.0015644
                     13,                 1.3974,                0.83764,                 1.2841,                0.93833,                0.95019,                0.98336,                0.64329,                 1.2451,                0.70704,                 1.2283,              0.0015248,              0.0015248,              0.0015248
                     14,                 1.3375,                0.79267,                  1.259,                0.93334,                0.90805,                 0.9637,                0.54355,                 1.5285,                0.80921,                  1.301,              0.0014852,              0.0014852,              0.0014852
                     15,                 1.3155,                0.78365,                 1.2359,                0.94326,                0.96169,                0.98023,                0.65073,                 1.2613,                0.67915,                  1.259,              0.0014456,              0.0014456,              0.0014456
                     16,                 1.3239,                0.78378,                  1.248,                0.95202,                0.97446,                0.98699,                0.66906,                 1.2221,                0.62694,                 1.1823,               0.001406,               0.001406,               0.001406
