                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2145,                 1.6698,                 1.2702,                0.65006,                0.52653,                0.61422,                 0.4546,                 1.0828,                 1.1186,                 1.1247,               8.33e-06,               8.33e-06,               8.33e-06
                      2,                 1.2002,                 1.4344,                 1.2291,                0.66728,                0.53282,                0.62813,                0.46852,                 1.0745,                 1.0807,                 1.1211,             1.7673e-05,             1.7673e-05,             1.7673e-05
                      3,                 1.1548,                 1.3713,                 1.2502,                0.68894,                0.53987,                0.63871,                0.47428,                  1.072,                 1.0605,                 1.1193,             2.6828e-05,             2.6828e-05,             2.6828e-05
                      4,                  1.134,                 1.3567,                 1.1935,                0.72353,                 0.5659,                0.65445,                 0.4871,                 1.0667,                 1.0368,                 1.1159,             3.5794e-05,             3.5794e-05,             3.5794e-05
                      5,                 1.1161,                 1.2515,                 1.1971,                0.75417,                0.58866,                0.66885,                0.49981,                  1.053,                 1.0161,                 1.1066,             4.4572e-05,             4.4572e-05,             4.4572e-05
                      6,                 1.1709,                  1.355,                 1.2106,                0.73861,                0.61472,                0.68642,                 0.5132,                  1.037,                0.99798,                  1.098,             5.3161e-05,             5.3161e-05,             5.3161e-05
                      7,                 1.1336,                 1.2154,                  1.196,                0.74727,                0.61388,                0.68974,                0.52211,                 1.0257,                0.97981,                 1.0911,             6.1562e-05,             6.1562e-05,             6.1562e-05
                      8,                 1.1009,                 1.1846,                 1.1896,                0.75942,                0.62157,                 0.6946,                 0.5279,                 1.0199,                0.95681,                 1.0853,             6.9775e-05,             6.9775e-05,             6.9775e-05
                      9,                 1.0989,                 1.2344,                  1.191,                 0.7376,                0.64858,                0.70957,                0.53839,                 1.0139,                0.92692,                  1.079,             7.7798e-05,             7.7798e-05,             7.7798e-05
                     10,                  1.088,                 1.1641,                 1.1904,                0.74917,                0.65081,                0.72339,                0.54334,                 1.0135,                0.90962,                 1.0761,             8.5634e-05,             8.5634e-05,             8.5634e-05
                     11,                 1.0889,                 1.1357,                 1.1734,                0.79248,                0.64705,                0.75279,                0.56556,                0.99504,                0.88171,                 1.0661,             9.3281e-05,             9.3281e-05,             9.3281e-05
                     12,                 1.1015,                 1.0898,                  1.161,                0.81166,                0.65802,                0.77438,                0.58182,                0.99166,                 0.8704,                 1.0632,             0.00010074,             0.00010074,             0.00010074
                     13,                 1.0786,                 1.0842,                 1.1696,                0.77241,                0.68313,                0.78072,                0.58646,                0.98871,                0.84897,                 1.0601,             0.00010486,             0.00010486,             0.00010486
                     14,                 1.0721,                 1.1127,                 1.1748,                 0.8096,                0.68493,                0.78263,                0.58464,                0.98559,                0.82714,                 1.0567,             0.00010368,             0.00010368,             0.00010368
                     15,                  1.038,                 1.0211,                 1.1444,                0.82956,                0.69255,                0.79257,                0.59633,                0.96453,                0.80082,                 1.0469,             0.00010251,             0.00010251,             0.00010251
                     16,                 1.0306,                 1.0604,                 1.1414,                0.83608,                0.69028,                0.79955,                0.60613,                0.94904,                0.77576,                 1.0395,             0.00010133,             0.00010133,             0.00010133
                     17,                0.99216,                0.96786,                 1.1209,                0.77197,                0.74544,                0.80519,                0.61352,                0.93693,                0.76229,                 1.0337,             0.00010015,             0.00010015,             0.00010015
                     18,                  1.048,                 1.0331,                 1.1716,                0.81645,                0.73003,                0.81366,                0.62178,                0.92475,                 0.7499,                 1.0276,             9.8972e-05,             9.8972e-05,             9.8972e-05
                     19,                 1.0021,                0.94941,                 1.1255,                0.82204,                0.73453,                 0.8192,                0.62527,                0.91374,                0.74103,                 1.0218,             9.7794e-05,             9.7794e-05,             9.7794e-05
                     20,                0.97088,                0.93198,                 1.1068,                0.81897,                0.74238,                0.81937,                0.63322,                0.90487,                0.73176,                 1.0177,             9.6616e-05,             9.6616e-05,             9.6616e-05
