                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     21,                0.97268,                0.93246,                 1.1329,                0.79693,                0.76546,                0.82027,                0.63492,                0.89995,                0.72279,                 1.0152,             9.5438e-05,             9.5438e-05,             9.5438e-05
                     22,                 1.0114,                 0.9415,                 1.1443,                0.82606,                0.75654,                0.82309,                0.63851,                0.89091,                0.71417,                 1.0124,              9.426e-05,              9.426e-05,              9.426e-05
                     23,                 1.0205,                0.97691,                 1.1495,                0.82897,                0.76253,                 0.8283,                 0.6475,                0.88749,                0.70039,                 1.0106,             9.3082e-05,             9.3082e-05,             9.3082e-05
                     24,                0.92027,                0.87225,                 1.0962,                 0.8226,                0.77132,                0.83392,                0.65743,                0.87842,                0.68597,                 1.0056,             9.1904e-05,             9.1904e-05,             9.1904e-05
                     25,                 1.0121,                0.97532,                 1.1365,                0.81165,                0.78429,                0.83535,                 0.6644,                0.87277,                0.68089,                 1.0014,             9.0726e-05,             9.0726e-05,             9.0726e-05
                     26,                 1.0154,                0.93891,                 1.1301,                0.79993,                0.78754,                0.83507,                0.66724,                0.86643,                0.67591,                0.99566,             8.9547e-05,             8.9547e-05,             8.9547e-05
                     27,                0.95699,                0.85528,                 1.1077,                0.79335,                0.78551,                0.83843,                0.66787,                0.85894,                0.66896,                0.99261,             8.8369e-05,             8.8369e-05,             8.8369e-05
                     28,                0.95129,                0.89698,                 1.1102,                 0.7841,                0.79768,                0.83933,                0.66845,                0.85289,                0.66718,                0.98965,             8.7191e-05,             8.7191e-05,             8.7191e-05
                     29,                0.96495,                0.86916,                 1.0923,                0.78893,                0.79978,                0.84344,                0.67417,                0.85342,                0.66533,                 0.9867,             8.6013e-05,             8.6013e-05,             8.6013e-05
                     30,                0.92422,                0.84144,                 1.0842,                0.82121,                0.79305,                0.84564,                0.67566,                0.85236,                0.65816,                0.98506,             8.4835e-05,             8.4835e-05,             8.4835e-05
                     31,                0.95193,                0.89339,                 1.0915,                0.83511,                0.78855,                0.84913,                0.67752,                 0.8401,                0.64709,                0.98056,             8.3657e-05,             8.3657e-05,             8.3657e-05
                     32,                0.97706,                0.85418,                 1.0844,                0.84731,                0.78895,                0.85016,                0.68045,                0.83168,                0.64012,                 0.9779,             8.2479e-05,             8.2479e-05,             8.2479e-05
                     33,                0.87025,                  0.801,                 1.0732,                0.84826,                0.78865,                0.85414,                0.68297,                0.82753,                 0.6326,                0.97746,             8.1301e-05,             8.1301e-05,             8.1301e-05
                     34,                 0.9461,                 0.8354,                 1.0849,                0.85347,                0.78633,                0.85908,                0.68969,                0.82576,                0.62708,                0.97651,             8.0123e-05,             8.0123e-05,             8.0123e-05
                     35,                0.90104,                0.81251,                 1.0746,                0.85704,                0.78528,                0.85773,                0.68846,                0.82589,                0.62486,                0.97735,             7.8945e-05,             7.8945e-05,             7.8945e-05
                     36,                0.91118,                0.85836,                  1.099,                0.86509,                 0.7808,                0.85881,                0.68527,                0.82592,                0.62462,                0.97679,             7.7766e-05,             7.7766e-05,             7.7766e-05
                     37,                0.89128,                0.78943,                 1.0536,                0.86147,                0.77368,                 0.8533,                0.67934,                0.81935,                 0.6216,                0.97409,             7.6588e-05,             7.6588e-05,             7.6588e-05
                     38,                0.92689,                0.79014,                 1.0717,                0.86983,                0.78491,                0.86013,                0.68818,                0.80903,                0.61782,                0.96893,              7.541e-05,              7.541e-05,              7.541e-05
                     39,                0.92011,                0.79697,                 1.0817,                0.87048,                0.78999,                0.85953,                0.69507,                0.80129,                0.61317,                0.96451,             7.4232e-05,             7.4232e-05,             7.4232e-05
                     40,                0.93412,                0.81363,                 1.0712,                0.86485,                0.79573,                 0.8552,                0.69557,                0.79866,                0.60706,                0.96141,             7.3054e-05,             7.3054e-05,             7.3054e-05
                     41,                0.92227,                0.80533,                 1.0853,                0.84872,                 0.7996,                0.85699,                 0.6957,                0.80017,                0.59898,                 0.9599,             7.1876e-05,             7.1876e-05,             7.1876e-05
                     42,                0.89963,                 0.7891,                 1.0857,                0.85932,                0.79213,                0.85791,                0.69731,                0.79968,                0.59772,                0.95848,             7.0698e-05,             7.0698e-05,             7.0698e-05
                     43,                0.90891,                0.79964,                 1.0797,                0.86034,                0.79545,                0.86309,                 0.6987,                0.79794,                0.59547,                0.95636,              6.952e-05,              6.952e-05,              6.952e-05
                     44,                0.89459,                0.79377,                 1.0478,                0.88107,                0.78327,                0.86359,                0.70041,                 0.7918,                0.59033,                0.95454,             6.8342e-05,             6.8342e-05,             6.8342e-05
                     45,                0.92133,                0.82335,                  1.065,                0.90076,                0.77965,                0.86465,                0.70349,                0.79036,                0.59605,                 0.9533,             6.7164e-05,             6.7164e-05,             6.7164e-05
                     46,                0.87173,                0.79474,                 1.0623,                0.90161,                 0.7797,                0.86639,                0.70695,                0.78744,                0.59755,                0.95146,             6.5986e-05,             6.5986e-05,             6.5986e-05
                     47,                0.91426,                 0.7896,                 1.0714,                0.90496,                0.78217,                 0.8651,                0.70839,                0.78165,                0.59238,                0.94977,             6.4807e-05,             6.4807e-05,             6.4807e-05
                     48,                0.86102,                 0.7481,                 1.0433,                0.88228,                0.79156,                0.86285,                0.71055,                0.77563,                0.58648,                0.94778,             6.3629e-05,             6.3629e-05,             6.3629e-05
                     49,                0.87608,                0.76328,                  1.058,                0.85158,                0.81387,                 0.8649,                0.71086,                0.77084,                 0.5791,                0.94629,             6.2451e-05,             6.2451e-05,             6.2451e-05
                     50,                0.90106,                0.75969,                 1.0552,                0.83204,                0.82412,                0.86426,                0.71144,                0.76907,                0.57216,                0.94525,             6.1273e-05,             6.1273e-05,             6.1273e-05
                     51,                0.86069,                0.74627,                 1.0271,                0.85629,                0.81998,                0.87123,                0.71334,                0.77089,                0.57108,                0.94491,             6.0095e-05,             6.0095e-05,             6.0095e-05
                     52,                0.87978,                0.75313,                 1.0573,                 0.8842,                0.81142,                0.87324,                0.71256,                0.76918,                0.57544,                0.94379,             5.8917e-05,             5.8917e-05,             5.8917e-05
                     53,                0.85773,                0.73604,                 1.0498,                0.88497,                0.80898,                0.87588,                  0.713,                0.76744,                0.57763,                 0.9433,             5.7739e-05,             5.7739e-05,             5.7739e-05
                     54,                0.86444,                0.73354,                 1.0488,                0.88775,                   0.81,                0.87608,                0.71133,                0.76322,                0.56826,                0.94077,             5.6561e-05,             5.6561e-05,             5.6561e-05
                     55,                0.85942,                0.73052,                 1.0508,                0.88555,                  0.815,                0.87602,                0.71293,                0.75775,                0.55964,                0.93923,             5.5383e-05,             5.5383e-05,             5.5383e-05
                     56,                0.89763,                0.76318,                 1.0595,                0.90246,                0.80184,                0.87665,                0.71681,                0.75553,                0.55441,                0.93765,             5.4204e-05,             5.4204e-05,             5.4204e-05
                     57,                0.91347,                0.78308,                 1.0466,                0.91249,                0.79906,                0.87741,                0.72069,                  0.754,                0.55256,                0.93692,             5.3026e-05,             5.3026e-05,             5.3026e-05
                     58,                 0.9079,                0.74246,                 1.0413,                0.92002,                0.79528,                0.87868,                0.72125,                0.75289,                0.55178,                0.93563,             5.1848e-05,             5.1848e-05,             5.1848e-05
                     59,                0.87046,                0.74961,                 1.0313,                0.91979,                0.79467,                 0.8804,                0.72128,                0.75324,                 0.5534,                0.93492,              5.067e-05,              5.067e-05,              5.067e-05
                     60,                0.88445,                0.75281,                 1.0442,                0.88212,                0.80807,                 0.8755,                0.72089,                0.75621,                0.55549,                0.93519,             4.9492e-05,             4.9492e-05,             4.9492e-05
                     61,                0.88711,                0.74935,                 1.0582,                0.89206,                0.80511,                0.87617,                0.72197,                0.75707,                0.55708,                0.93441,             4.8314e-05,             4.8314e-05,             4.8314e-05
                     62,                0.80871,                 0.7061,                 1.0207,                0.90017,                0.80415,                0.87742,                0.72405,                 0.7541,                0.55281,                 0.9333,             4.7136e-05,             4.7136e-05,             4.7136e-05
                     63,                0.91742,                0.76065,                 1.0467,                0.90615,                0.80176,                0.87951,                0.72634,                0.75048,                0.54557,                0.93269,             4.5958e-05,             4.5958e-05,             4.5958e-05
                     64,                0.85058,                0.73993,                 1.0421,                0.90275,                0.79959,                0.88006,                0.72668,                 0.7464,                0.54229,                0.93116,              4.478e-05,              4.478e-05,              4.478e-05
                     65,                0.88002,                0.71649,                 1.0452,                0.90216,                0.80399,                0.88108,                0.72946,                0.74496,                0.53931,                 0.9306,             4.3602e-05,             4.3602e-05,             4.3602e-05
                     66,                0.83159,                0.69865,                 1.0317,                0.88915,                0.81165,                0.88155,                 0.7288,                0.74437,                0.53809,                0.92955,             4.2423e-05,             4.2423e-05,             4.2423e-05
                     67,                0.87096,                0.71955,                 1.0428,                0.89047,                0.81081,                0.88249,                0.72817,                0.74232,                0.53668,                0.92854,             4.1245e-05,             4.1245e-05,             4.1245e-05
                     68,                0.81148,                 0.6943,                 1.0276,                0.89585,                0.80941,                0.87855,                0.72977,                0.73831,                0.53576,                0.92708,             4.0067e-05,             4.0067e-05,             4.0067e-05
                     69,                  0.826,                0.69749,                 1.0318,                0.91982,                0.79278,                0.87868,                0.73063,                0.73718,                0.53582,                0.92636,             3.8889e-05,             3.8889e-05,             3.8889e-05
                     70,                 0.8262,                0.72957,                 1.0357,                0.92736,                0.79398,                0.88044,                0.73398,                0.73484,                0.53625,                0.92594,             3.7711e-05,             3.7711e-05,             3.7711e-05
                     71,                0.87831,                 0.7328,                  1.042,                0.92428,                0.79782,                0.88157,                 0.7349,                0.73325,                0.53562,                0.92503,             3.6533e-05,             3.6533e-05,             3.6533e-05
                     72,                0.84968,                0.72852,                 1.0496,                  0.921,                0.79784,                0.88373,                0.73544,                0.73121,                 0.5345,                0.92411,             3.5355e-05,             3.5355e-05,             3.5355e-05
                     73,                0.81135,                0.69079,                 1.0192,                0.91856,                0.80118,                0.88643,                0.73678,                0.72924,                0.53269,                0.92348,             3.4177e-05,             3.4177e-05,             3.4177e-05
                     74,                0.82471,                0.71088,                  1.031,                0.92355,                0.79836,                0.88525,                0.73637,                0.72826,                0.53144,                0.92354,             3.2999e-05,             3.2999e-05,             3.2999e-05
                     75,                 0.8358,                0.69687,                   1.03,                0.90677,                0.80775,                 0.8858,                 0.7359,                0.72751,                0.53189,                0.92345,             3.1821e-05,             3.1821e-05,             3.1821e-05
                     76,                0.82697,                0.68534,                  1.036,                0.90727,                 0.8076,                 0.8861,                0.73397,                0.72732,                0.53163,                0.92366,             3.0643e-05,             3.0643e-05,             3.0643e-05
                     77,                0.87131,                0.72691,                   1.03,                0.90816,                0.81134,                 0.8842,                0.73624,                 0.7263,                0.53048,                0.92315,             2.9464e-05,             2.9464e-05,             2.9464e-05
                     78,                0.87388,                 0.7239,                 1.0304,                0.91491,                0.80769,                0.88382,                0.73449,                0.72632,                0.53027,                0.92264,             2.8286e-05,             2.8286e-05,             2.8286e-05
                     79,                0.86728,                0.69457,                 1.0378,                 0.9127,                0.81011,                0.88741,                0.73614,                 0.7233,                0.52759,                0.92189,             2.7108e-05,             2.7108e-05,             2.7108e-05
                     80,                0.82472,                0.66907,                 1.0183,                0.91023,                0.81264,                0.88771,                0.73488,                0.72117,                0.52545,                0.92107,              2.593e-05,              2.593e-05,              2.593e-05
                     81,                0.83435,                0.69666,                 1.0381,                 0.9066,                0.81292,                0.88699,                0.73317,                 0.7185,                 0.5257,                0.92036,             2.4752e-05,             2.4752e-05,             2.4752e-05
                     82,                0.80462,                0.67732,                 1.0227,                0.90593,                0.81535,                0.88571,                0.73558,                0.71773,                0.52414,                0.92036,             2.3574e-05,             2.3574e-05,             2.3574e-05
                     83,                0.87911,                0.72013,                 1.0405,                0.90393,                0.81614,                0.88916,                0.73643,                0.71645,                0.52282,                0.91972,             2.2396e-05,             2.2396e-05,             2.2396e-05
                     84,                0.76212,                0.64358,                 1.0114,                0.90583,                0.81373,                0.88882,                 0.7389,                0.71691,                0.52264,                0.91975,             2.1218e-05,             2.1218e-05,             2.1218e-05
                     85,                0.83363,                0.68112,                 1.0118,                0.91202,                0.81106,                0.88845,                0.73979,                0.71457,                0.52312,                0.91886,              2.004e-05,              2.004e-05,              2.004e-05
                     86,                0.82843,                0.71135,                 1.0189,                0.91848,                0.80933,                0.88605,                0.74046,                0.71418,                0.52402,                0.91853,             1.8862e-05,             1.8862e-05,             1.8862e-05
                     87,                0.77874,                0.66572,                 1.0297,                0.92636,                0.80701,                0.88581,                0.74053,                0.71343,                 0.5238,                0.91809,             1.7683e-05,             1.7683e-05,             1.7683e-05
                     88,                0.76533,                0.65922,                 1.0204,                0.92744,                0.80668,                0.88538,                0.74073,                0.71289,                0.52403,                0.91748,             1.6505e-05,             1.6505e-05,             1.6505e-05
                     89,                0.83641,                0.71525,                 1.0327,                0.91446,                0.81639,                0.88883,                0.74109,                  0.712,                0.52309,                0.91692,             1.5327e-05,             1.5327e-05,             1.5327e-05
                     90,                0.81174,                0.65659,                  1.026,                0.92964,                0.80931,                0.88935,                0.74157,                0.71233,                0.52154,                0.91659,             1.4149e-05,             1.4149e-05,             1.4149e-05
                     91,                0.83128,                0.72335,                0.99856,                0.92678,                0.80305,                0.88581,                0.73805,                 0.7162,                  0.528,                0.91698,             1.2971e-05,             1.2971e-05,             1.2971e-05
                     92,                 0.8631,                0.75905,                 1.0163,                0.93906,                0.78964,                0.88347,                0.73431,                0.72401,                0.53334,                0.91944,             1.1793e-05,             1.1793e-05,             1.1793e-05
                     93,                0.85535,                0.72403,                 1.0166,                0.93667,                  0.786,                0.88324,                0.73377,                0.72729,                 0.5378,                0.92029,             1.0615e-05,             1.0615e-05,             1.0615e-05
                     94,                0.84315,                0.72598,                 1.0074,                 0.9306,                0.78649,                0.88205,                0.73315,                0.73102,                0.54199,                0.92136,             9.4367e-06,             9.4367e-06,             9.4367e-06
                     95,                 0.8452,                0.70244,                 1.0277,                0.89408,                0.80671,                 0.8818,                0.73165,                0.73338,                0.54465,                0.92197,             8.2586e-06,             8.2586e-06,             8.2586e-06
                     96,                0.83618,                0.69932,                  1.003,                 0.8894,                0.80692,                0.87908,                0.73148,                0.73664,                0.54586,                0.92281,             7.0805e-06,             7.0805e-06,             7.0805e-06
                     97,                0.82674,                0.68266,                 1.0008,                0.89669,                0.80028,                0.87806,                0.72966,                0.73808,                0.54778,                0.92308,             5.9024e-06,             5.9024e-06,             5.9024e-06
                     98,                0.81407,                0.69446,                0.99977,                 0.9275,                0.77761,                 0.8771,                0.72902,                0.73982,                0.54819,                0.92337,             4.7243e-06,             4.7243e-06,             4.7243e-06
                     99,                0.82903,                0.69283,                 0.9983,                0.91809,                0.78261,                 0.8768,                0.72925,                0.74097,                0.54942,                0.92375,             3.5462e-06,             3.5462e-06,             3.5462e-06
                    100,                0.86191,                0.73734,                 1.0255,                0.91244,                0.78663,                0.87701,                0.72879,                0.74259,                 0.5519,                0.92437,             2.3681e-06,             2.3681e-06,             2.3681e-06
